종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"039240","경남스틸","우량기업부","4545","-55","-1.20","4470","4640","4445","1059554","4812858470","122622300180","26979604"
"053950","경남제약","중견기업부","801","-59","-6.86","860","860","800","1063960","871808426","62596033758","78147358"
"011040","경동제약","중견기업부","6130","80","1.32","6040","6130","5980","26777","162216490","188612535580","30768766"
"024910","경창산업","우량기업부","1923","20","1.05","1911","1933","1891","50733","96708587","68879946615","35819005"
"049720","고려신용정보","우량기업부","10110","0","0.00","10120","10230","10060","35861","362936800","144573000000","14300000"
"014570","고려제약","우량기업부","4595","0","0.00","4695","4695","4580","3161","14533040","50545000000","11000000"
"348150","고바이오랩","기술성장기업부","5360","210","4.08","5200","5360","5130","27904","148336900","103843836000","19373850"
"950190","고스트스튜디오","외국기업(소속부없음)","8790","-50","-0.57","8840","8850","8590","4837","42298120","119367250680","13579892"
"098460","고영","우량기업부","8110","50","0.62","7980","8170","7960","151926","1230371020","556790063050","68654755"
"035290","골드앤에스","중견기업부","404","-2","-0.49","406","417","401","66114","26836426","19261297920","47676480"
"900280","골든센츄리","관리종목(소속부없음)","6","-2","-25.00","7","7","6","61475608","378046549","1232425728","205404288"
"215000","골프존","우량기업부","65400","-800","-1.21","66200","66500","65400","24614","1621854400","410412141000","6275415"
"121440","골프존뉴딘홀딩스","우량기업부","3465","-60","-1.70","3510","3515","3465","33507","116885540","148429574370","42836818"
"366030","공구우먼","중견기업부","3650","110","3.11","3500","3650","3495","16677","59661110","82686552500","22653850"
"014200","광림","관리종목(소속부없음)","30200","0","0.00","0","0","0","0","0","91311391200","3023556"
"029480","광무","중견기업부","2485","40","1.64","2425","2575","2380","162323","405055795","136697571255","55009083"
"026910","광진실업","중견기업부","1960","-2","-0.10","1962","1987","1954","6914","13574950","12554593800","6405405"
"440790","교보13호스팩","SPAC(소속부없음)","2100","-5","-0.24","2115","2115","2095","9549","20066625","8505000000","4050000"
"456490","교보14호스팩","SPAC(소속부없음)","2070","0","0.00","2070","2095","2060","15396","32013000","8694000000","4200000"
